58,Wockesha,MoneyBagg Yo,26,Interscope,"Memphis, TN",5.7M

59,Astronaut In The Ocean,Masked Wolf,36,Elektra,"Indianapolis, IN",5.5M

60,'Til You Can't,Cody Johnson,2,Warner Music Nashville,"Houston, TX",4.9M

61,RAPSTAR,Polo G,28,Columbia Records,"Providence, RI-New Bedford, MA",6.2M

62,Praise God,Kanye West,5,Def Jam,"Bend, OR",5.4M

63,No Friends In The Industry,Drake,7,Republic/Cash Money,"Memphis, TN",5.3M

64,No Role Modelz,J. Cole,29,,"Odessa-Midland, TX",5.6M

65,Tennessee Whiskey,Chris Stapleton,71,Mercury Nashville,"Palm Springs, CA",5M

66,Wants and Needs,Drake feat. Lil Baby,33,,"Meridian, MS",5.6M

67,Lil Bit,"Nelly, Florida Georgia Line",28,Columbia Records,"St. Louis, MO",4.9M

68,Get Into It (Yuh),Doja Cat,12,RCA,Honolulu,5.3M

69,Have Mercy,Chlöe,6,Columbia Records,"Atlanta, GA",5.1M

70,Jugaste y Sufrí,Eslabon Armado feat. DannyLux,4,INgrooves,"Laredo, TX",6.2M

71,Champagne Poetry,Drake,7,Republic/Cash Money,"Albany, GA",5.2M

72,Sunflower,Post Malone &amp; Swae Lee,119,Republic,"Salt Lake City, UT",5.1M

73,Peepin Out The Window,"Young Thug feat. Future, Bslime",1,300 Entertainment,"Cheyenne, WY-Scottsbluff, NE",4.9M

74,A-O-K,Tai Verdes,14,Arista Records,"Kansas City, MO",4.9M

75,Take My Breath,The Weeknd,11,,"New York, NY",4.8M

76,Dreams,Fleetwood Mac,53,Warner Bros.,"Sacramento-Stockton-Modesto, CA",4.8M

77,In The Bible,"Drake feat. Lil Durk, Giveon",7,Republic/Cash Money,"Albany, GA",4.9M

78,Hurricane,Kanye West,8,Def Jam,"Baton Rouge, LA",5M

79,Recognize Real,Young Thug feat. Gunna,1,300 Entertainment,"Augusta, GA",4.8M

80,Sweater Weather,The Neighbourhood,12,Columbia Records,"Palm Springs, CA",5.4M

81,Die Slow,Young Thug feat. Strick,1,300 Entertainment,"Hattiesburg-Laurel, MS",4.8M

82,Flocky Flocky,Don Toliver feat. Travis Scott,2,Atlantic Records,"Great Falls, MT",4.8M

83,Drunk (And I Don't Wanna Go Home),"Elle King, Miranda Lambert",17,RCA Records,"Minneapolis-St. Paul, MN",4.4M

84,Perfect,Ed Sheeran,3,Atlantic Records,"Boston, MA (Manchester, NH)",4.2M

85,Rolling In The Deep,Adele,1,XL Recordings/Columbia,"Boston, MA (Manchester, NH)",4.6M

86,Let Somebody Go,"Coldplay, Selena Gomez",1,Parlophone,"New York, NY",4.2M

87,Cold As You,Luke Combs,3,Columbia Nashville,"Minneapolis-St. Paul, MN",4.4M

88,Peaches,Justin Bieber feat. Daniel Caesar &amp; Giveon,31,Def Jam,"Las Vegas, NV",4.7M

89,Ain't Shit,Doja Cat,17,RCA,"Harlingen-Weslaco-Brownsville-McAllen, TX",4.9M

90,For the Night,Pop Smoke feat. Lil Baby &amp; DaBaby,66,Victor Victor Worldwide,"New Orleans, LA",4.9M

91,Day Before,Young Thug feat. Mac Miller,1,300 Entertainment,"Parkersburg, WV",4.5M

92,Every Chance I Get,"DJ Khaled feat. Lil Baby, Lil Durk",25,Epic Records,"Memphis, TN",4.9M

93,Whats Poppin,"Jack Harlow feat. DaBaby, Tory Lanez &amp; Lil Wayne",89,Atlantic Records,"Louisville, KY",5M

94,Whiskey Glasses,Morgan Wallen,95,,"Little Rock-Pine Bluff, AR",4.5M

95,Wasted on You,Morgan Wallen,32,Republic,"Little Rock-Pine Bluff, AR",4.4M

96,Stupid/Asking,Young Thug,1,300 Entertainment,"Charlottesville, VA",4.4M

97,Yonaguni,Bad Bunny,20,ORCA,"Puerto Rico, PR",4.6M

98,Here We Go,Mac Miller,1,Warner Bros.,"Albuquerque-Santa Fe, NM",4.2M

99,Life Goes On,Oliver Tree,3,Atlantic Records,"Anchorage, AK",4.9M

100,Love in the Dark,Adele,1,XL Recordings/Columbia,"Columbia, SC",4.4M

